iteration,curr policy return,max return,median return,avg return,std return,avg rollout len,min mag policy param,max mag policy param,median imp samp return,min imp samp return,min expl strat std,avg expl strat std,max expl strat std,expl strat entropy
0,98.04915173310025,792.499070828409,109.97126734486693,136.59689957617428,85.11891546508049,1248.6,-0.030507131427562922,-0.9485344594316971,282.84650477560626,249.3591089262089,0.2882085446367856,0.4430975748120063,0.5642673947880052,-6.114666682608959
1,226.8673226789656,797.6228487017277,128.4283155053862,155.67500055241547,114.33089192117006,1271.04,-0.012274678905627168,0.8866158214694335,337.5797897996279,296.28340770599954,0.2566976296870776,0.40416512515095077,0.591924585939317,-7.066264448182423
2,238.29388448905274,697.2294121629972,127.81504420473311,149.66453275804514,90.56086000372204,1248.71,0.012497200965775557,-1.0266290182239906,326.45938592817924,309.93921160193196,0.21807434345280297,0.4066835387416301,0.6033083108932766,-7.103846672345483
3,224.38343230507797,652.9640588121755,145.16889014122785,168.04616444779117,91.73239905657944,1249.63,0.018427808863362528,-0.9062895972501392,397.30301436295105,324.94430467351367,0.18254229775292993,0.3681673795669631,0.5725883575228893,-8.20977438870227
4,187.40136069216874,728.7966961789273,157.80131920122216,188.0448614220619,117.20862154812639,1284.34,0.02074805736952864,-0.9208938469720452,663.6651838482359,371.0751696788671,0.13709626097120983,0.42749429453370713,0.819618532674184,-7.446389719155782
5,168.4986003518651,509.2765780333218,147.00525906845183,157.7966279837561,87.67327432839402,1248.6,0.03936442143876371,0.9363996356470794,361.15779577464093,333.61708499279894,0.099334623434172,0.36443655427707417,0.49851133032668804,-8.994524188690677
6,170.15564638353504,435.39343078936,161.3731474118556,167.900764267946,71.11214372963326,1356.43,-0.008275681643658373,1.066396197042193,313.3910674373995,298.81321631102156,0.042549702516701725,0.20913524714197995,0.30307336549664776,-14.023266859489299
7,286.1526192698007,524.4623331960254,250.47931479208904,251.57372489750662,120.03192641956818,1357.42,0.06744509598354277,1.3563520727973915,518.5158695654649,504.57879726719966,0.03569231288117929,0.1511976527027907,0.29161214132001884,-17.443575936016284
8,330.9764901972687,541.1802673540855,324.97681872017284,331.1441273215033,94.69866557514761,1442.71,-0.009208715589226242,1.303780917846343,524.9382086430805,517.0739956914899,0.021722701354426627,0.1394791099263486,0.36893842153612033,-19.24967998949367
9,276.59070179818906,492.2244175177357,289.6839183896824,290.24681603316805,87.53427667530902,1401.77,-0.027492117736756572,1.3512187457582443,469.84781302711434,451.14747575278324,0.02,0.1078944053961566,0.23719553441448835,-21.009093912040903
