iteration,max return,median return,avg return,min return,std return,num rollouts,avg rollout len,explained var,V-fcn loss impr,avg V-fcn grad norm,loss after,KL(old_new),avg expl strat std,expl strat entropy,avg policy grad norm
0,10.652493017258802,4.579797530497183,4.760519634060843,2.3956706397544787,1.2179888416658124,6663,9.019960978538196,0.8991849177775584,7.284437266916608,0.5761353507826114,-0.2398709822478867,0.01176630155913945,0.9623438019723576,1.3032238758298642,0.12287108098655047
1,13.953027736270883,4.940041115491842,5.165378260088458,2.4521852171304532,1.467732772999512,6487,9.265762293818407,0.8638343075868441,0.3245248345146853,0.7226388357104707,-0.08361392792249417,0.012968859504347532,0.9630120961465821,1.3009027894355267,0.10990165609727263
2,23.704299802347904,5.924516032043007,6.3640445685800895,2.662899501876047,2.3762291804046556,5824,10.322458791208792,0.7742488100900874,0.5220629307294482,0.9074066364963166,-0.07295985914011881,0.01429180311210744,0.9704843590396606,1.3121844294351181,0.20636131195572022
3,59.072287534333434,7.582895461370116,9.02505235254525,3.2778693006192023,5.547025360989747,4898,12.285626786443446,0.6293082761255261,3.4397061678785237,0.9999474564434447,-0.3622078842135199,0.012368331870038933,0.9634828746469547,1.2787212599241133,0.5690422661098328
4,151.07484127247048,10.347209639424712,14.056216278065408,3.5722806469544905,10.878855761581129,3879,15.51198762567672,0.5882381080774717,9.544741854543322,0.999999903309432,-0.6462754215817479,0.01330178559612574,0.9421685558522336,1.213300437233571,0.8474485314387251
5,203.2747544024441,17.544091076059296,33.3417148678056,4.2593585831616565,37.95308894778706,2340,25.79230769230769,0.5213551828032862,109.05943774899373,0.9999999705326237,-4.918392921178212,0.012045405632418762,0.9002116594368593,1.080740689720459,0.9992196004405175
6,223.88642462728242,75.39051849270737,82.51684547131275,6.001227280827742,58.607286920071694,1228,49.37866449511401,0.46679841328677363,280.98469685956275,0.9999999867689867,-7.979520590544891,0.0068360490892649724,0.865472235460571,0.9654892222861937,0.9999997158625572
7,242.37709755523252,151.90644529208976,131.41019388815332,6.845940985931449,65.45226814015894,852,71.40258215962442,0.6527021895537994,285.2704803858253,0.999999990839538,-9.2192779688039,0.005336294815008479,0.8337731435303152,0.8563327263660386,0.9999997194395008
8,247.3729108078353,191.04131178748426,179.67294916663602,13.43178648188904,43.403037516299605,657,93.1248097412481,0.8824285683345836,272.47002800318444,0.9999999886452239,-8.867382523831411,0.00818226011816475,0.7889835499049237,0.6916686692390365,0.99999966459659
9,254.14953186852145,203.8294386656355,199.87356963069593,103.82042628425108,22.5205963460079,606,101.0990099009901,0.9681345502458917,181.41870112300484,0.9999999818799987,-6.848225718294134,0.00687075995780104,0.7562722680943422,0.5638970055409268,0.9999359710879884
10,266.1232500067099,215.63316868896948,212.63249539339492,68.53842188766234,21.22135452642866,576,106.203125,0.979994120620939,102.45795495098469,0.9999999790296997,-5.187928263252002,0.008325202030980191,0.7214906303385823,0.4227300659881331,0.9984688589649708
11,284.737804090806,228.10283403369505,225.8649265560561,107.7472325681397,19.33433171822196,553,110.66907775768536,0.9885106389918212,65.31052325341929,0.9999999793394263,-4.476401846850644,0.004066076729635367,0.6987727529812334,0.3208293796364854,0.9974300758530472
12,280.49712931396,231.85472059993808,229.61638793204023,120.96031879081079,21.828665655468267,548,111.91788321167883,0.9904331552540908,42.71063318034273,0.9999999832732834,-3.2121219734104334,0.006140821411652245,0.6673964367414961,0.18577607035418064,0.990156333271503
