iteration,curr policy return,max return,median return,avg return,std return,avg rollout len,min mag policy param,max mag policy param,median imp samp return,min imp samp return,min expl strat std,avg expl strat std,max expl strat std,expl strat entropy
0,1025.53204531564,857.8647884342017,84.77538218776124,129.9264570076843,128.99990826305248,888.29,0.11572002472792255,1.513750627839676,440.21983036630775,348.41884987179844,0.245999651383088,0.4249701360166169,0.5825784633874712,-11.887524505325972
1,297.5343605245421,955.1529146308228,157.663504066844,189.54271708865772,150.44862819648628,1112.95,0.0053971734242471425,1.4160723229144314,580.0210979835279,404.2149426329165,0.19742151967056365,0.35971420216932776,0.602682436807134,-14.65924230811022
2,331.70333883319125,922.974600213659,206.07484779934322,213.5143756348922,134.23345038793812,1228.6,0.0003780520082414418,1.5454396309512823,454.4393207615631,389.17611184596444,0.1406635063346617,0.332679999537925,0.6358557010417711,-16.36702344358747
3,375.02990224569487,914.6961020122826,221.02080375065913,240.27567604322815,146.78629349609866,1323.395,0.02687813075507598,1.4660091944168183,602.3404416302666,468.82187048028203,0.08203486795993475,0.32460607042577544,0.7367986116836062,-17.849359426668176
4,932.3526357626627,950.1924671174272,239.28984174849765,267.0711977865242,183.5880669542738,1361.91,0.025582339344604098,1.2867471293156174,873.5960800467182,805.9859999280415,0.07203109497654,0.2889685235612846,0.5860009592928495,-19.713708422087354
