iteration,curr policy return,max return,median return,avg return,std return,avg rollout len,min mag policy param,max mag policy param,median imp samp return,min imp samp return,min expl strat std,avg expl strat std,max expl strat std,expl strat entropy
0,73.72406630985036,200.9199227575089,40.98419404872277,47.894270603959164,27.251976066019587,1080.2745,0.014943297925430286,0.7031902353011702,85.61207306658885,72.51140228841462,0.694437554917654,0.9197030121150013,1.0733461090376302,0.3200354890449595
1,70.86671002669875,137.2334710810409,28.372162649013312,32.999114932257775,19.272628480006517,764.628,0.021113369285011407,0.7588610751844775,61.760537187031716,52.80287761979865,0.2759032697718054,0.6895971038231415,1.416807511986695,-4.647514137942114
2,84.3096015079952,154.2824624586727,42.02257224153904,51.5866310889273,27.255114722697794,1116.874,0.16856132260370096,0.8959188714204863,99.53694279740775,95.69507265429357,0.2306719549436112,0.5556790431805122,1.4494915095689436,-7.108880816609055
3,97.16607742341117,199.05832089794302,57.884286875166424,61.76647965960463,31.668271289635882,1118.679,0.09947918123030959,0.5488757554584225,106.91262098995476,96.33315035088633,0.11493545250506997,0.4594110263633284,1.4715069596429098,-10.218490370572129
4,107.95611713517287,175.79404554645012,55.652916000692905,65.38009472436393,30.540565473663147,1115.6805,0.03511292237791781,0.8625829748815679,115.48069186699823,111.23976133455476,0.0799564385312527,0.33942513190416634,0.982966484500735,-14.266972238659138
5,146.45497674541923,190.621130615386,86.8528975753878,97.3387812986687,36.697177426384016,1320.5945,-0.0010283553560338332,1.0245363173148425,165.11300646336804,150.93947865384683,0.08221489665776406,0.2634515265862127,0.7309217754822385,-17.28277053036488
6,93.81992191646648,236.36047460289296,106.10969364139922,102.50467261118315,35.13848651918551,1348.2865,-0.001372753614491018,0.8360872510201001,159.69624454408162,138.5930734515574,0.025236823025867335,0.2178263562013009,0.5072775194442998,-20.228646659587707
7,105.23883288726725,213.3641716997419,92.7364513299643,101.2486133213351,46.32138149037027,1229.7475,0.06718797216471066,0.8723120015525865,188.96852137145032,171.34454446190972,0.025702827740957196,0.16578763325847978,0.5206704098169367,-24.129319283366698
8,140.35121406968415,204.98958025589295,108.89669383653697,112.44531792212848,41.004500664059684,1378.9295,0.04104991776905982,0.542711558751408,203.89161757176254,174.36636928045473,0.023593564302671583,0.113176237675773,0.26444707849355253,-27.23225717405097
9,189.66524708440852,209.39342063530293,120.18050398261076,127.9517258245719,39.95018656723963,1404.132,-0.0025861147523694753,0.5620644247132697,205.35460640242724,197.62239749598362,0.02,0.08177401943782185,0.24729405808260552,-31.507153395884806
10,197.82558550981543,225.385715687715,160.68764585433124,164.9060836741866,35.22710177668046,1474.239,-0.0029465126800317437,0.5739054813295146,222.16719698358847,217.61967080941085,0.02,0.07884380248661844,0.22439625600429178,-32.358640757886484
11,233.5272833789319,239.37207337751116,158.60491751750925,166.36834666826616,38.70421633797518,1487.374,0.007572379509315402,0.6269412581739118,225.73964202693597,219.35892839162779,0.02,0.055235089343905495,0.11637667399195334,-35.50152874392844
12,246.0632079399232,247.59159000041126,211.95117749186025,196.94704061749076,35.99967195493813,1488.613,0.004590039824635142,0.6103633486840738,242.52489179778212,240.19894354190765,0.02,0.04868063096687849,0.1100762601390189,-36.81346318289019
13,251.57099434631283,249.35511480238824,206.34692877806435,203.62167091724027,31.01224808077488,1488.559,-0.0009277014620549338,0.610171539387672,247.3370052014656,238.88110634691938,0.02,0.045798187735333694,0.10549912853668937,-37.51455432445408
14,251.2537444245,254.0962537757075,214.53888288025823,211.99340300349593,25.010056162137023,1490.915,0.0025479804740365414,0.6314397663620045,246.9626110943963,245.0582836073554,0.02,0.04432328888398231,0.14492001716524877,-38.6014376043684
