iteration,curr policy return,max return,median return,avg return,std return,avg rollout len,min mag policy param,max mag policy param,median imp samp return,min imp samp return,min expl strat std,avg expl strat std,max expl strat std,expl strat entropy
0,539.0238850748649,671.9355416249496,339.864870588691,341.0086625690045,152.30749973074012,1334.82,-0.1115168160585092,-0.6834771857981312,572.9148354411284,546.8334367098367,0.12940503473721346,0.17309903417247827,0.19785452363451364,-14.455663115720021
1,647.2445531465881,662.5612672137461,260.86153753404443,282.2127075243288,159.31553080430973,1280.16,-0.07777086207970534,-0.7156556874614807,565.8681121198454,528.4510786407541,0.06452797438822225,0.1275509015741706,0.26817182403436957,-18.224649218508933
2,682.8901990262666,690.9729579610907,474.34817651338864,372.95260919483184,206.95092439981366,1293.54,-0.03888905141442196,-0.7312456405586419,656.7891392211754,607.5674976019194,0.0401105790818863,0.1266985301412001,0.32563363018541547,-19.125002975640008
3,407.3338926276034,623.904427255292,471.6720705252345,437.6188649177678,136.85790878060445,1453.54,0.06704634543368791,-0.7252293742641905,623.2984524481959,615.7295321660803,0.014540215526434213,0.07299025646405938,0.13064595142587465,-23.808641523776352
4,635.9521723821757,651.3912350338047,546.0592382372969,527.6795284542167,126.23801797791934,1472.5,0.08559278993766865,-0.7379896414466188,648.6701267101541,647.6534428114337,0.012865874012246677,0.06396694841524911,0.13758462096981278,-25.339985706000736
5,658.3016833570523,662.0740673758249,646.2209902429179,569.1640915552096,143.67509447310624,1460.24,0.027558650165395472,-0.7532255995267418,660.9607648169487,660.4665552071485,0.014635937862245648,0.04400847841871387,0.10954577858121628,-28.678526342143126
6,526.1591473718158,642.4380764846679,512.3033167422482,388.0704800789092,219.10246920310846,1265.74,0.0071250456069830385,-0.7565329895314973,601.7226996074373,598.5456698992396,0.012396822215159775,0.04109758560174493,0.0984222690573158,-29.303370753582204
7,666.4812159422972,673.2347795633563,611.922188999033,603.4574149352651,64.24346462732983,1500.0,0.05634418523875455,-0.7351263943762268,671.5412179363083,671.425674081704,0.013428878950051563,0.0373257866284287,0.11116314370860993,-30.180705754723668
8,592.3227164132569,711.728450203662,588.8606648771882,543.8251810716708,145.52736925679662,1438.26,0.03800352278335735,-0.737491689514942,629.0877176527578,600.4791821038028,0.010000000000000004,0.022136722329633023,0.059497250468180676,-34.48454848678374
9,675.1373014009517,675.8944390936088,671.5437816546072,635.7022217844204,57.875669955721484,1500.0,0.038349056104832475,-0.7309517014118994,675.0279058978429,674.5331339578006,0.010000000000000004,0.02109172745562368,0.05807370444958247,-34.9922493855656
