iteration,curr policy return,max return,median return,avg return,std return,avg rollout len,min mag policy param,max mag policy param,median imp samp return,min imp samp return,min expl strat std,avg expl strat std,max expl strat std,expl strat entropy
0,345.7956288475498,95.82745504656745,29.019265636855174,35.83957056046623,17.977909846327417,978.18,0.056125058887435186,-1.5885496768356935,74.37457373180703,64.62655474489219,0.6153439678688437,0.8043927079697832,0.9715118810016159,-1.2852845590675792
1,69.98613070259545,70.88575220945533,21.700775606304752,25.695404872233972,11.630029954301689,823.27,0.01837460247076239,-1.7878966906800045,57.56178054559996,42.31138102400975,0.22168508777848012,0.557921157197253,1.3066078703568134,-7.272092739709365
2,65.91864752829653,209.6265948168094,25.24170166072684,35.00645329157655,28.608451900653137,991.444,-0.026143249749685914,-1.2020863820945553,68.10886569188536,58.86688377546373,0.09649519797294046,0.3576016590593323,0.8515246623607007,-13.363334087437751
3,79.26447838222678,84.0623510973199,36.660143466182575,44.44516880425661,18.927447545595786,1110.8895,0.04144357223763169,1.2633065552159288,74.52237814009194,71.22783546757813,0.06253518960458822,0.24970634621179388,0.6659217258649398,-17.975209024928066
4,78.20611614225683,171.91745894530362,70.07066959705128,67.26028219963614,21.941465455684195,1376.2955,0.029420845332670763,0.9906629473747497,85.32447599273311,82.4443342960102,0.056753786286770996,0.23179185959844362,0.6880409960728713,-19.70939744913554
5,90.35496767488767,274.460075113822,82.193061210482,77.4874480531585,35.27202917262441,1315.47,0.01363695847142049,1.117580799530071,98.19019866220819,93.80141502830016,0.024615044814417442,0.23301607875005761,0.5631560888545933,-19.71758878128044
6,99.20977016978188,110.83905094688427,89.2399816745218,83.91623806280177,18.762314325039462,1373.7445,0.01808838376419714,-1.0249036081959815,106.50466566942423,103.14165578540829,0.02,0.21414649862490498,0.6346193715358566,-21.268693758136095
7,102.8621588324108,195.1378346274951,92.49982094876972,86.48951629446634,28.751805815751656,1365.8225,0.007737482279168264,1.0249940166396962,115.80608576994064,112.48562489541806,0.02,0.2143113844530289,0.6423961184248678,-24.34202911326568
8,119.06029967199086,372.8204225287692,96.72279074135545,94.30134069601826,53.71010274328294,1239.558,-0.0007051842786319474,1.0676317132958864,178.28362370652167,148.22113581693424,0.02,0.17143047216839238,0.4901108519953339,-26.102946700069012
9,253.04908162316707,228.93644960735332,94.88753651724709,99.96568333565261,45.93627651140977,1363.9895,-0.01024068014983497,1.0723695733380176,198.80383765141306,182.46889908785542,0.02,0.15111507880649283,0.5173685980736592,-27.523909476361563
10,251.0062035734818,272.6932596777474,97.4203960906655,103.70147792650017,57.616205712138715,1355.849,0.0018050334298615688,1.3387244562331548,241.61024189034487,202.3889436441591,0.02,0.1591974515010008,0.9567603469253863,-30.309641634278584
11,210.5457069315045,226.9991772033947,104.30090839499334,118.52622580510044,48.59265044681041,1401.762,-0.011922468808910262,1.185959717474638,198.88022376907023,196.29121648090262,0.02,0.15025657537945458,0.7800680939882574,-31.435176066089006
12,262.1747475105691,257.0177270667767,99.83353914453403,123.01917767225046,60.1898020962584,1402.9685,-0.016515209060581255,1.3444894507926708,243.99057541240091,218.88721977488893,0.02,0.08495572143105869,0.40507518565886647,-34.64869334257075
13,245.64595999178974,260.3601291522722,115.66582755718636,137.07931922705748,59.25374209397566,1400.7635,-0.009758085893724271,1.151051101547108,255.2529775930876,246.22818623709108,0.02,0.08431895796856347,0.43657743312653335,-35.347498210740454
14,252.50973820606742,284.89795766063247,132.93131604065377,153.10500852218402,63.636659334852524,1374.742,-0.01938931267553206,1.1541981878363567,265.1729599708057,257.6873396450219,0.02,0.0648604135930325,0.30095562762266936,-38.68597073761126
15,280.0842181237302,292.2093190778302,170.72840769642636,171.76711563875406,57.889219342823644,1431.3515,-0.015795217366560328,1.273336362738093,282.43809925678187,272.3285081566625,0.02,0.05128508674373943,0.25132895389310633,-39.70230597442566
16,294.98293867967607,297.16251500219295,221.66284084757552,209.5440330838089,62.40549060884213,1438.8585,-0.007321634776957563,1.1549914412600533,294.5667255133685,286.75170027542055,0.02,0.03878337161387654,0.1709880656981203,-41.04902763825586
17,305.745106525956,310.11988012436876,188.4661914257681,194.1240638761107,62.03039302585423,1421.189,-0.021541476021024148,1.1748906250465736,299.8426100135269,289.31496642845633,0.02,0.03375612750296895,0.14731944703288247,-41.941746861327495
18,283.7226499080252,305.2364049265355,192.36575998381971,190.92839384381915,66.52785501173967,1399.0855,-0.02054836100138277,1.1935051575935849,285.0807042812088,269.3540651325399,0.02,0.031528414655827966,0.12968089099917776,-42.45492962516053
19,320.79907975660143,338.41518827210155,215.44339839149356,227.11517072606014,59.787344779642716,1447.39,-0.014137944348909536,1.189547380999554,325.33516527617326,321.24535066052294,0.02,0.033691883855274184,0.14376559233980057,-41.939214329136355
