iteration,curr policy return,max return,median return,avg return,std return,avg rollout len,min mag policy param,max mag policy param,median imp samp return,min imp samp return,min expl strat std,avg expl strat std,max expl strat std,expl strat entropy
0,524.8924757602531,572.2335962896414,420.0716352601169,425.96405920591627,86.13198827713964,1465.8291666666667,-0.05710392611872819,1.1632276163185313,565.5923307340538,546.2812885373903,0.1064785323339626,0.15446871613878133,0.22340474098173593,-15.56545725937328
1,538.8435411680707,603.4751132067533,379.31354849213756,374.13308716836195,120.22723420512312,1383.0541666666666,-0.05434152482701462,1.1712606537683392,586.0791552420604,539.415946863757,0.019863316965916093,0.08488326755010747,0.21553878971732265,-23.134163894612843
2,576.9332416125599,598.6353671859595,424.72845706188116,422.44655703028633,91.243619491763,1423.0875,-0.017851856098154924,1.2484093449410185,580.33911480889,557.4327998317931,0.010000000000000004,0.04769604154293846,0.10289322581927114,-29.453976833983027
3,576.6208523244575,588.5589979627784,500.10326278077935,491.704210953969,65.46134818528309,1442.1916666666666,-0.009215461495013658,1.2693680906315683,569.22610297441,563.0390831829709,0.010000000000000004,0.02323477290082253,0.07335129257821925,-35.05439974480076
4,619.1773411356265,622.4417864334514,594.5340253106444,569.6756747035929,54.106564324362445,1471.6666666666667,-0.021412759574227048,1.2639967330834219,620.9297809695067,620.2088606984854,0.010000000000000004,0.021504647189917864,0.04658434796679153,-34.89954135665227
5,620.6983977695113,650.2610250885834,601.1263897439409,594.058950613048,46.4298776598199,1485.2583333333334,-0.016599130148883052,1.2595168020313308,646.096306214879,645.8504212716698,0.010000000000000004,0.021610700890654557,0.043569447067333435,-34.279193062008055
6,604.3826843837714,653.6149294724493,599.4360912446609,571.3219529067221,78.03673143473331,1455.5375,-0.01121120174653612,1.2742291412721067,650.9206272214758,649.5845615843665,0.010000000000000004,0.014656888649954162,0.02973377862538916,-37.43846612721509
7,611.3777887280985,628.8358842812847,602.1499518298747,602.3812378716441,16.281335101494733,1499.4666666666667,-0.01949214200943617,1.269629649298862,624.2400867154298,622.8777763435371,0.010000000000000004,0.015554197556978979,0.03545758098413328,-37.15760028823656
