iteration,curr policy return,max return,median return,avg return,avg rollout len,min mag policy param,max mag policy param,min expl strat std,avg expl strat std,max expl strat std,expl strat entropy
0,792.9647054290701,1108.8711743482822,688.7034835971467,749.5006067872578,1365.888888888889,0.04105021106437321,0.9291229012366992,0.19047619047619047,0.19047619047619047,0.19047619047619047,-13.50511415622712
1,1108.5517427045888,1233.8713131278073,921.2933404547734,878.6843098017133,1559.888888888889,-0.1667425558455478,0.8111157935279888,0.18140589569160995,0.18140589569160998,0.18140589569160995,-13.944225633752009
2,1234.2287536722636,1058.658105471467,876.6740775456794,826.3825381050351,1543.111111111111,-0.21022966587691883,0.8898839592575132,0.19047619047619047,0.19047619047619047,0.19047619047619047,-13.50511415622712
3,1237.391743631861,1073.42279496761,727.6084098838521,784.64505334731,1442.5555555555557,-0.21022966587691883,0.8898839592575132,0.2,0.19999999999999998,0.2,-13.06600267870223
4,1237.391743631861,1139.5482105641395,880.6753192047302,839.2830902571019,1518.111111111111,-0.21022966587691883,0.8898839592575132,0.21000000000000002,0.21,0.21000000000000002,-12.626891201177342
5,1237.391743631861,1048.9607645172944,874.6072874200024,845.4371146266179,1547.888888888889,-0.21022966587691883,0.8898839592575132,0.22050000000000003,0.22049999999999997,0.22050000000000003,-12.187779723652454
6,1237.391743631861,1108.8016325516342,755.248446922462,823.5709305926755,1447.611111111111,-0.21022966587691883,0.8898839592575132,0.23152500000000004,0.23152500000000004,0.23152500000000004,-11.748668246127565
7,1233.9805556819285,1004.5016439805095,912.6127447077905,841.7803055538178,1545.1666666666667,-0.21022966587691883,0.8898839592575132,0.24310125000000007,0.2431012500000001,0.24310125000000007,-11.309556768602675
8,1234.8388154960644,1177.1418017233752,889.1078178807193,896.9045880110065,1602.0555555555557,-0.21022966587691883,0.8898839592575132,0.2552563125000001,0.2552563125000001,0.2552563125000001,-10.870445291077788
9,1234.4670370125725,1124.3947502313817,880.7343623449558,831.0224810241323,1509.8333333333333,-0.21022966587691883,0.8898839592575132,0.2680191281250001,0.2680191281250001,0.2680191281250001,-10.431333813552898
10,1233.991271586951,1078.6536782849719,720.0039617568532,784.6993066368682,1426.1666666666667,-0.21022966587691883,0.8898839592575132,0.28142008453125006,0.28142008453125006,0.28142008453125006,-9.992222336028012
11,1233.8713131278073,1060.1015897042694,855.0223182694847,850.900357974149,1519.5555555555557,-0.21022966587691883,0.8898839592575132,0.29549108875781255,0.29549108875781255,0.29549108875781255,-9.553110858503127
12,1234.0507621784184,1053.3337799904739,865.7070759996645,828.0486991262121,1515.0,-0.21022966587691883,0.8898839592575132,0.31026564319570327,0.3102656431957032,0.31026564319570327,-9.113999380978235
13,1233.9578627744077,1081.0938975154786,840.7541566335619,817.3292511544151,1457.3333333333333,-0.21022966587691883,0.8898839592575132,0.32577892535548847,0.3257789253554884,0.32577892535548847,-8.674887903453346
14,1237.391743631861,1093.9546615034078,869.2086501049979,823.0232417289125,1486.8333333333333,-0.21022966587691883,0.8898839592575132,0.34206787162326296,0.34206787162326296,0.34206787162326296,-8.235776425928456
15,1234.3717360010778,1114.831220549169,915.5113869846107,877.6106147007783,1549.0555555555557,-0.21022966587691883,0.8898839592575132,0.35917126520442616,0.3591712652044262,0.35917126520442616,-7.796664948403567
16,1233.8713131278073,1415.8173985886565,840.9318930518702,875.5122634578629,1501.4444444444443,-0.21022966587691883,0.8898839592575132,0.342067871623263,0.342067871623263,0.342067871623263,-8.235776425928455
17,1420.0065978013179,1429.566828791863,1015.434031917091,970.4477428194477,1625.1666666666667,0.09818760737115345,1.0734185047174827,0.3257789253554886,0.3257789253554886,0.3257789253554886,-8.674887903453342
18,1429.6211770409836,1097.388449129569,924.7893031863948,905.4942502101286,1614.611111111111,0.16359936274394066,1.2082612809693014,0.342067871623263,0.342067871623263,0.342067871623263,-8.235776425928455
19,1429.53412552065,1064.967649586684,963.4048115431335,933.1199633047875,1674.2777777777778,0.16359936274394066,1.2082612809693014,0.35917126520442616,0.3591712652044262,0.35917126520442616,-7.796664948403567
20,1430.3439213858933,1317.632632072487,965.6445765274487,921.2977645843447,1561.5555555555557,0.16359936274394066,1.2082612809693014,0.3771298284646475,0.37712982846464754,0.3771298284646475,-7.357553470878678
21,1429.4921435722283,1154.2167637872908,962.6965306394552,910.4980210836212,1525.2222222222222,0.16359936274394066,1.2082612809693014,0.39598631988787986,0.39598631988787986,0.39598631988787986,-6.91844199335379
22,1429.6780123657766,1177.571916684507,873.9123159567225,832.771277855531,1439.9444444444443,0.16359936274394066,1.2082612809693014,0.41578563588227385,0.4157856358822739,0.41578563588227385,-6.479330515828902
23,1429.5171227006208,1059.512379055798,770.5315955618462,773.5864513929188,1355.6666666666667,0.16359936274394066,1.2082612809693014,0.43657491767638756,0.43657491767638756,0.43657491767638756,-6.040219038304013
24,1429.5171227006208,1114.0850255664325,907.5451907847071,857.0468054839052,1495.9444444444443,0.16359936274394066,1.2082612809693014,0.45840366356020695,0.45840366356020695,0.45840366356020695,-5.601107560779125
25,1429.4921435722283,1136.975694273533,980.7407544084956,932.4140481859033,1610.1666666666667,0.16359936274394066,1.2082612809693014,0.4813238467382173,0.4813238467382173,0.4813238467382173,-5.161996083254236
26,1429.4921435722283,1213.7162741469342,906.992399394007,855.0025795173601,1463.3333333333333,0.16359936274394066,1.2082612809693014,0.5053900390751283,0.5053900390751283,0.5053900390751283,-4.722884605729346
