iteration,curr policy return,max return,median return,avg return,std return,avg rollout len,min mag policy param,max mag policy param,median imp samp return,min imp samp return,min expl strat std,avg expl strat std,max expl strat std,expl strat entropy
0,542.041710742621,572.6037742941074,430.8611763799181,407.83559194706174,113.44697044960628,1631.4066666666668,-0.011476292340433736,0.9744787251173006,546.5094401474041,513.3325569120648,0.30635752102500285,0.37108155562061246,0.4204435940096001,-7.554425441804828
1,641.3629996870602,581.232759595807,360.11412872503803,337.86718837689335,123.57694560549008,1522.5866666666666,-0.02607874718162135,0.9311661800271598,521.8855554951483,467.25800456836316,0.19112923328180814,0.3096427052968011,0.43127498914367934,-9.429244138478728
2,620.526614529636,600.1407467598817,387.83371633000536,367.57748981118743,145.39961507617144,1572.5,0.03176818471074812,0.890253679552309,567.2885582785926,537.3722861161255,0.06682873516494131,0.21492949427993133,0.5327412937988201,-14.177574320402073
3,581.2570289925354,554.7791624613652,493.4068347625877,449.24997111474397,111.9960023254289,1668.8533333333332,0.018923228344556932,0.9757387647380288,532.2549473515546,526.9135405949394,0.06471908158444538,0.18090888277332973,0.44196297507210713,-15.700619980952583
