iteration,curr policy return,max return,median return,avg return,std return,avg rollout len,min mag policy param,max mag policy param,median imp samp return,min imp samp return,min expl strat std,avg expl strat std,max expl strat std,expl strat entropy
0,157.38973791395847,387.45462084091366,163.1529577644734,181.90080151749524,48.44699516016842,1500.0,0.06091376797255371,0.7712562733040641,300.25834876523425,241.1114792980582,0.28398459176897983,0.37641063514404954,0.45754335309123756,-4.556229146417493
1,312.30451171831635,461.98415721979245,174.9895479112131,211.95977206111084,88.75921701841139,1474.0,0.17551211619969037,1.115544999110757,427.791648171471,334.79165671370185,0.06163728648611688,0.26688046145652516,0.35321937661864145,-7.277122626659109
2,383.21255391213043,579.70958084544,298.69014753383544,315.2230661443436,101.01255112999756,1438.84,0.26786878744700754,1.1522052502690747,484.85932003155153,454.099450604725,0.05393213050876575,0.25233308894719214,0.42035328766556185,-7.989900307503065
3,357.4203912824773,606.1502564697511,324.8084564887034,334.86801559301244,93.07744375470347,1439.5,0.32260560509531727,1.1568120514452072,512.4183003839644,469.74995703721095,0.04286066336654343,0.15911675706971654,0.3609407683896266,-10.823472174782424
4,560.8160200901394,557.9359614548104,329.35038222714127,361.23859561850753,87.59958756313131,1446.62,0.4430093678491048,1.1579654195301619,505.14593554739355,493.36188857273413,0.05674902797004421,0.16975203387888724,0.2815286990036205,-9.94274463452932
