iteration,curr policy return,max return,median return,avg return,std return,avg rollout len,min mag policy param,max mag policy param,min expl strat std,avg expl strat std,max expl strat std,expl strat entropy
0,23.014180774003112,161.09904886085351,24.66552323612857,34.48337577810966,28.2460677306028,804.3791666666667,-0.06032470479899765,-0.9128244503821423,0.5403915448852865,0.678904270455847,0.897322327913532,8.332444451965662
1,49.63839361709304,103.60042673151862,39.99127156163168,45.264973766804765,24.717026839008593,943.1375,0.04151998277609846,1.3044445000140366,0.4706279650967233,0.6320668349084131,0.9634223597627274,7.271212982951533
2,51.716022621809515,116.25929207071961,43.88889098090623,44.59479515679607,22.147491424693374,976.175,-0.08988645098714894,1.3899270924027916,0.4233365246009278,0.5659355733385769,0.9287111556257692,6.191253619615838
3,50.06792380194498,133.19486194933637,47.577511488311856,53.332132283163766,28.009820377895473,1029.2375,-0.01831702533946064,1.4419287637509233,0.4397589554965388,0.5312737887851504,0.8884432337144104,5.4727551105692225
4,111.7344573486676,195.9996671097638,68.35455416407314,66.56471291065881,38.511054683029045,1046.3958333333333,0.08488166216834893,1.5085666261084882,0.3770862591959838,0.5025469410633021,0.8078848212462116,4.892844648818851
5,102.53337792542523,154.6695111575388,49.18037872936405,62.683171070821025,33.737087420580664,1137.1041666666667,0.11708218059672999,1.8103507029989754,0.31440555702508083,0.48554897772552974,0.7451642702754039,4.195917754019442
6,60.21091171782532,161.19372775408235,58.50494065402297,73.43456208307514,41.021302189812396,1176.75,0.06489885035318349,2.1062060083784426,0.25899803783103686,0.4894152293638023,0.727294960652942,3.1909401265897994
7,58.53133841038406,168.46026163109522,55.50649848571274,70.63748067047959,42.65490270368607,1128.0458333333333,0.013000648652571362,2.304100555414826,0.2215233882110991,0.4611647964332158,0.7325605155427664,2.166977786387063
8,56.61871627103261,215.5769740047837,55.300355839410116,65.75557210406188,34.4226855015964,1206.3625,-0.02773831673770731,2.2316606217214607,0.2090815216432025,0.4260355257259302,0.7632285929300171,1.1817254380991127
9,57.395109520423624,113.41437448882841,55.326711004361,58.828997065254796,23.19232801407304,1165.9083333333333,-0.03823406291793807,2.1291400236744153,0.2043887574321174,0.4059544265966833,0.700565848734588,0.3928465668859289
10,57.41991885976004,141.85080582170818,59.6891451882034,64.8914348277323,26.113102725591787,1179.6291666666666,-0.03823406291796321,2.129140023674354,0.23122523463544215,0.4023453268937025,0.6826877442485506,-0.25033492681478364
11,57.4265473575638,208.67207860191425,55.780801597175824,62.19344921698405,35.785936188104316,1128.3708333333334,-0.0382340629179632,2.129140023674354,0.21791212678277208,0.3913071754201874,0.6986058245707134,-0.9646339626347178
12,59.97797026001238,172.34682177825277,63.07681049272041,81.28515556279541,42.14117592771039,1168.0833333333333,0.02987186929299237,2.328262665187156,0.21082399805731453,0.40578182667004487,0.7807593225837974,-1.1832007238154887
13,59.160917968012306,139.62202498794966,50.19707840200065,53.39505335867712,24.641963820816688,1139.5583333333334,0.024557952004095947,2.1245628468917115,0.20239208485055102,0.38365781335413984,0.7026787000263464,-1.9056692929720356
14,59.16698658347112,169.72229230779007,59.51739931151877,75.70071105938533,42.55071346033697,1172.8625,0.024557952004102962,2.1245628468917204,0.20960951405592185,0.37970247551383274,0.6307147976083728,-2.3362047702814515
15,57.464408839378216,153.72054360396,57.490542221316666,73.4128851536723,38.51595960995382,1154.4333333333334,0.005615707764261867,2.0632358733819918,0.22914415350485,0.4052414424008888,0.7167414772818382,-2.969165211577719
16,57.46113860188219,138.5200421449123,64.21598573235525,72.75827031320993,29.489781857282704,1181.0541666666666,0.005615707764311025,2.063235873382066,0.20866343049429956,0.39084408683776195,0.6320000992719127,-3.718646499
17,57.47040692204001,203.61545554497602,95.5142849630044,104.30582575797436,59.99986059655774,1181.7833333333333,0.005615707764311154,2.0632358733820664,0.16742654018042777,0.3885962894523852,0.6611841918617681,-4.613856079858438
18,58.04490249363804,190.61517922260694,63.11791894575539,81.00970940637802,51.06687034896373,1147.5083333333334,0.03916880678514841,2.0981767158782523,0.15119788404216986,0.3789103790473304,0.63468378931112,-5.539538889930954
19,58.016182989386294,162.17613246470867,64.41979173379616,78.26605499686258,40.749153725524984,1155.6916666666666,-0.01198875210711687,2.088107755413911,0.13993582390942166,0.359746113320618,0.6139463199688364,-6.787246286311211
20,57.99536868178555,171.7173399192134,57.46511018545579,62.482103108246136,36.80268531138503,1130.4083333333333,-0.011988752106874813,2.088107755413839,0.12511877581149916,0.3259876958316297,0.5414154816732879,-7.612128777868731
21,58.002900035594365,195.39208322349796,61.50989778388359,81.55806910827127,45.652591055966404,1197.2833333333333,-0.011988752106878203,2.088107755413842,0.13286556008049283,0.3031447374986412,0.5286595480945552,-8.56940844184595
22,56.725656016364404,198.22803229236072,64.30332481432472,87.08167080962843,50.65536562751591,1178.4708333333333,-0.05189679450142883,2.204313534280197,0.12090098894206673,0.30681933709428566,0.5522995551656789,-8.862101656878634
