iteration,curr policy return,max return,median return,avg return,std return,avg rollout len,min mag policy param,max mag policy param,median imp samp return,min imp samp return,min expl strat std,avg expl strat std,max expl strat std,expl strat entropy
0,453.39822955493105,458.14532670096844,215.14530044851168,234.80887246983121,94.79173308938636,1603.0198675496688,0.05429427845646473,0.9865545281257238,445.82340162418143,438.04903192013114,0.11196476591327884,0.184109313115581,0.24041496394437697,-11.317126755064342
1,363.5259543831362,448.83663393839424,353.6587036145196,345.52719267870515,72.58133485109522,1713.7615894039734,0.01497471775194486,1.0016294818565823,445.69643184964804,444.9777294883163,0.06140810345935644,0.16752571543060946,0.2688864286474774,-16.640827245738137
2,383.40991803563793,415.17983995342365,350.5797943378973,331.187923921932,63.758834425535916,1690.7748344370862,-0.057209732486642274,1.0694732860061233,403.90206328016694,400.91511196639294,0.05483410540024052,0.1091731064652622,0.14710436090002696,-25.720357461998546
3,469.04291192431725,476.61893154266596,453.2540541764642,410.7665611333567,60.93175582451792,1712.728476821192,0.004021563367235659,1.0963092036508053,472.20177586205926,471.2256151728497,0.03905872336647195,0.08988288606719462,0.1363582895230187,-34.72103129082605
4,377.79559408434307,446.1568063896723,381.0909028688948,381.81098247435807,12.36009028638552,1750.0,0.05393232787095157,1.0979602915383775,404.1383311277013,393.8308130850902,0.03954285043147362,0.1196896293852781,0.20350270706950266,-39.76292407108928
5,464.2236010575331,476.74849584296726,421.82019478291977,396.9304478527279,73.55681852893647,1704.2781456953642,0.16484751492162147,1.1043758090911555,470.92037610186503,469.85978175667196,0.020366435912915162,0.06425137964885777,0.10139669478255603,-46.631223168380814
6,419.3233347882256,469.1789690756033,417.7002373035906,425.19149633836076,28.835234167239047,1750.0,-0.02002688651902112,1.306483280763448,468.12639738231684,466.6655531434506,0.01667365441377353,0.03269151678341509,0.0431611260612653,-53.604975127840596
7,454.5551013006657,457.03037258090626,454.52288730212206,450.19105840763575,14.150020453524206,1750.0,0.05904457619044649,1.3300318925446875,456.30217366897085,456.0639934078373,0.013519879076746458,0.026341334588219495,0.04275033803532956,-61.79142453468898
