iteration,curr policy return,max return,median return,avg return,std return,avg rollout len,min mag policy param,max mag policy param,median imp samp return,min imp samp return,min expl strat std,avg expl strat std,max expl strat std,expl strat entropy
0,606.9901497813864,645.87049282301,522.7294003330194,511.6915102446065,88.04222277904638,1718.9,-0.011476292340433736,0.9744787251173006,644.5134605904042,619.4858877907456,0.1270525048950598,0.181735840705623,0.22432500799955635,-14.070225739308778
1,617.4562741066982,629.7624415690832,412.0959864967841,360.51957240429033,169.165795896459,1548.0866666666666,0.07689774807624992,1.02871800635209,564.7857925066302,536.7061687445951,0.066586427946876,0.12014726071443367,0.17516098328967178,-18.097385717493218
2,599.4463730710761,602.4833350706701,514.8703333440039,440.4018313862638,153.02317497799567,1627.64,0.07893401413263602,1.038238405365462,598.7440822133492,594.9993467835423,0.010000000000000004,0.11187028416923184,0.2828812763688368,-20.8817165264883
3,613.5351880961482,636.6007717954648,473.53804618068966,450.7357326824212,154.80745891500234,1629.26,0.1502567057209002,1.021385698833738,632.7453278327355,631.5003664932593,0.011340632717003203,0.0593280184708243,0.14590430117185482,-25.84058342323788
4,644.6850055583669,654.360662433661,532.7126168523998,503.01604806488564,129.19573349233988,1669.1866666666667,-0.14712204604747073,0.9845407982119326,648.4943423323385,635.4903713708223,0.010000000000000004,0.0408920792499246,0.07698926046679296,-28.572396154596408
