iteration,curr policy return,max return,median return,avg return,std return,avg rollout len,min mag policy param,max mag policy param,median imp samp return,min imp samp return,min expl strat std,avg expl strat std,max expl strat std,expl strat entropy
0,148.26905000603298,243.51472455646893,29.454973893436478,38.735239635879765,30.92122978927697,750.065,-0.08502523704546078,0.9655036834151075,115.73873477821789,98.45980043871822,2.288547418581437,2.838976242875042,3.3425781281301887,10.758357873522062
1,122.18304508016416,129.58145217215636,14.64518655179905,18.615389081851898,13.13394002796547,618.215,0.10874748785352577,1.2789668853106169,55.335220288269156,42.12396917969647,1.6081545550018128,2.5129911411466543,3.821059541172527,9.299492495489611
2,64.04720198860342,175.79626763890124,20.010339945392097,24.187932499368408,15.974627968699517,713.505,0.049295366820087574,1.5233415722497574,57.598659479298696,48.89511402234977,1.0160365626335528,1.942069159425642,4.094713466912339,6.521094961142577
3,214.0092272172312,426.68617327504893,32.24911259214342,41.59822573992704,40.33302999627876,916.655,0.4795911348254144,1.5429952392843282,125.63381187148083,89.6929730817491,0.4454838788431788,1.4439974994082871,2.421042715572765,3.3616485173044905
4,113.35830023127788,261.30487830957065,59.35410986274216,68.08977876816975,40.035771420750834,1131.37,-0.40818966549511393,-0.9595986606511184,171.58846959845616,156.39212418772942,0.29259087175237963,0.94574822601794,1.3139521738811117,-0.056813390431175836
5,127.37542713559623,669.911263807359,90.12484131826774,113.27209855776742,84.89640337253452,1321.025,0.059596259160401746,1.0724545063852737,321.5673153726095,285.36531145081494,0.21587973872649746,0.7170291346979684,1.2169510329799975,-2.5839487547109656
6,301.4906558678678,364.3752094520405,135.6277309148435,144.87691868103605,77.8357530085954,1385.505,0.11873740912188276,1.2025554303888044,310.4426378835831,293.4806285178145,0.205858927562088,0.49137439980666225,0.9382333895557369,-5.923152288897985
7,334.9289908429941,482.58146480455576,213.47441101303082,221.68474489649287,87.50185447557794,1515.9,-0.028104604868632577,1.485194968645824,398.54173520327623,383.07028710991256,0.12749864797508967,0.34786615362892187,0.6356475719277322,-8.895462188742838
8,369.836537533361,492.1825193116779,297.3293855075275,290.68362416786744,84.37060383844556,1564.355,-0.09235030069392587,1.319443038448982,447.9894900519412,432.47446843185315,0.12866843268379086,0.3011786020107991,0.5563074091738154,-10.586628137212289
9,382.1176584181395,476.75426999330125,305.6897922399122,301.08012676268703,79.56139519056315,1620.755,-0.21176385869302,1.2728764329954096,459.40180153640244,422.09818722094235,0.08941140722003905,0.27461056605407397,0.6140248953573024,-11.952022200761283
